"feature_id","Pair1","Pair2","Pair3","Pair5","Pair6","Pair7"
"DBI_1",0.94610255840078,0.296826658267161,-0.008449985260647,-0.36103251694329,-0.185647919563324,0.295249720859346
"DBI_2",1.08442891058201,0.277244348375195,-0.000671713095535154,-0.275834607257416,0.684478356184455,-1.20010847178874
"DYNLL2_1",0.791837350764562,-0.13193442998033,0.466176836744214,-0.220367140198061,0.714149196922564,0.167042478699273
"EIF4H_1",-0.466748338779455,0.804907427395293,0.835814489977874,-0.478238712357705,-0.31015935068209,0.545278644532484
"ERH_2",1.33943007764755,0.99123541163307,0.127553248756413,0.166923215647881,1.4189056580028,-0.552015758518579
"FAU_1",2.60132403182488,-0.071139493744429,1.64009614058244,1.83092877497304,-0.757059262723571,1.22422169956548
"FKBP2_1",0.83984771729723,-0.0354233021798578,-0.391179294661292,1.02034668104503,1.64004280448899,-1.03182195263757
"GAA_1",-0.421088223974914,-0.45664388749536,-1.33362743909373,0.155810420505894,-0.972292260935911,0.344362977955218
"GCG_2",-0.287849707321209,0.796544488309916,-0.330783187831923,0.0326361157039692,0.051783746307196,0.0640579920917368
"GCG_3",-0.866031092852181,-0.262043830740655,-0.297806558326933,0.446381056798245,-1.08972147235652,0.306565542971121
"GCG_4",-0.691444949857702,-0.391629119076129,-0.546091822985719,-0.460193266047021,-0.851753035728086,0.198004434106956
"GCG_6",-1.1381629397873,-0.58279896226632,-0.571255343188735,0.189372735557484,-1.21809920797243,0.677337308832673
"GCG_7",-0.234503134769009,0.435691744172768,0.0354814141106523,0.427690454651071,-0.837300104620807,-0.344588889575871
"GCG_11",-0.729585965134616,0.608433946492031,-0.956222896809901,0.98251173394852,-0.96202460906686,-0.402483523237542
"GCG_14",-0.792267606069737,-0.675048850964146,-0.693322425347006,0.211971370306344,-0.537734387717245,-0.446231928198522
"GCG_15",-0.855135386819166,-0.338477857369202,-0.0237044728112892,-0.103004306333485,-0.909213117527196,0.478601704071391
"GCG_16",-0.976425734459768,-0.607995709356317,-0.602005764484314,-0.197786754429405,-0.39143352402329,0.296652465794899
"GCG_22",0.368195901062181,0.0114829117396376,-1.25400915066716,-0.430117917495508,-0.0500678730339725,0.371689293260246
"GCG_24",1.24170833999155,-0.50915768772369,-0.0361423715129163,-1.1690665449859,0.742159419831411,-0.718741145651041
"GCG_27",1.39171011021308,-0.351026947393034,-0.968405805353004,-0.4685861005328,2.03094269314242,-0.414500753772213
"GCG_34",3.28946162574635,1.69417812673183,-1.40473876799692,0.28533211106517,2.2213511699845,-1.54325971248934
"GCG_36",2.72467832971041,1.6377386218744,-1.60337078437544,-1.18543305255178,3.32884718626979,-1.80948382811314
"GCG_46",1.60152174009989,2.14874390777083,0.451432546035697,-1.0900476931495,2.03275218877106,-0.982162546320261
"GCG_56",-0.816843019547933,-0.569785478335874,-0.82872962194778,0.484694596936805,-0.896993144009771,0.117069362867667
"GCG_58",-0.388835148560323,-0.401433362442109,-1.20984007145818,-0.255999005180836,-1.46591522022494,-0.381151069714377
"GCG_59",-0.756114299878837,0.149389173564142,0.00824321599496258,0.46511871681323,-0.709402772341816,0.322222570455672
"GCG_61",-0.603671827115543,0.171709914359667,-0.463777100271216,-0.243223811598028,-0.321851212164704,0.988054081224089
"GCG_63",-0.933038855423897,-0.380524316539187,-0.483566833361948,0.00581679630470688,-1.12695919757319,0.469412623468411
"GCG_66",-0.0736727654756368,-0.420579586404735,-1.57138425918935,0.428674567266984,-0.754389716997244,0.79578371826954
"GCG_70",-0.55544734046242,-0.0530154199676076,-1.24536359237339,0.115863158232685,-0.804159683942819,-0.389848079710408
"GCG_73",0.187798660623736,-0.427535821830968,-0.305159729453017,-0.32460801300055,-1.16605844640997,0.0623956363514893
"GCG_76",-0.701500480448059,-0.474330095195249,-0.0578421032156982,-0.168593808617096,-0.840887221732453,0.310173545469784
"GCG_77",-0.51090958557919,0.197928514667545,0.202264556960554,-0.114062408611066,-0.910894156431484,-0.145080875057687
"GCG_79",-1.64599458484809,0.493020873371027,0.359289761012956,0.675418650978727,-1.38098457659799,0.281717740648627
"GCG_80",-0.591069389931457,0.0438999275454002,-1.2544463480587,-0.0530331170847305,-0.813518616945798,0.30089784115858
"GCG_81",-0.595071435190151,0.711763497848299,0.526612916052756,-0.177994874458467,-1.17055758049523,0.461000430594954
"GCG_84",-1.61419830938411,-0.129695364347018,-0.273210587494336,0.314949653742886,-1.04981966549561,0.108754468537558
"GCG_86",-0.551540908723071,-0.606564800541445,-0.751740441778512,0.0420325121465055,-0.397827676576787,0.336070332238855
"GCG_88",-0.382571544824314,-0.431968345005139,0.607791708105349,-0.150353077213314,-0.580411190303357,0.540365884778083
"GCG_130",-0.64970204454824,-0.478500147615492,-0.404663520339167,-0.514425399721027,-0.803789805616672,0.468756690676791
"GCG_133",-0.985604471876401,0.102934911056987,-0.631043520852366,0.562415487691514,-0.87920465686654,1.29695006877692
"GCG_138",-1.3511073997888,-0.702479467489681,-0.483912418122262,-1.25772727104145,-1.28605552395593,0.564829293479004
"GCG_148",0.0414836365235356,0.678104957810412,-0.672062242300544,0.0406853464554118,-1.27067995912075,0.423632450423277
"GCG_154",-0.45218069263286,-0.442550461136626,-0.719616035808372,-1.30169000883128,-0.601086574897858,0.348152884666057
"GCG_155",-0.964756050178012,-0.997700935703985,-1.03157122830499,1.18690741819397,-0.705934322782232,-0.147955681345405
